,ets_add_add_false,ets_add_mul_false,ets_mul_add_false,ets_mul_mul_false,ets_add_add_true,ets_add_mul_true,ets_mul_add_true,ets_mul_mul_true
38,139.65305803361898,136.5719351135806,137.36059116831035,137.2667139302821,138.55401424165456,138.63853960423484,136.4020822712336,139.45882366869645
39,142.8276591231258,136.66570248111955,138.24288979686102,138.0596830189153,140.5881639581445,140.70981487238598,136.3274860504558,142.3716950761153
40,146.00226021263265,136.75953422732613,139.1251884254117,138.85723297029028,142.5816306803046,142.69416910223978,136.25438175409354,145.21600804207714
41,149.17686130213949,136.85343039640134,140.00748705396236,139.6593902473597,144.53522806802152,144.5937247924181,136.18273954365853,147.99095712021526
42,152.35146239164632,136.94739103257652,140.88978568251304,140.46618146594872,146.4497535079841,146.41072807161166,136.11253017743223,150.69597740705407
43,155.52606348115316,137.04141618011343,141.7720843110637,141.27763339563805,148.32598843914744,148.1475230980375,136.04372499853045,153.33072798005148
44,158.70066457066,137.13550588330418,142.65438293961438,142.0937729606523,150.1646986716875,149.80652888650107,135.9762959232067,155.8950755581545
45,161.87526566016683,137.22966018647128,143.53668156816505,142.91462724075325,151.96663469957676,151.39021845208273,135.9102154293894,158.3890784922168
46,165.04986674967367,137.32387913396772,144.41898019671572,143.74022347213833,153.73253200690823,152.9011001474332,135.84545654544849,160.81297117520216
47,168.2244678391805,137.4181627701769,145.3012788252664,144.57058904834443,155.46311136809308,154.34170106277077,135.7819928391864,163.16714894611644
48,171.39906892868734,137.5125111395127,146.18357745381707,145.40575152115673,157.15907914205422,155.71455235324981,135.71979840704952,165.45215354707392
49,174.57367001819418,137.6069242864195,147.06587608236774,146.24573860152293,158.82112756053615,157.02217635680236,135.6588478635554,167.6686591797866
50,177.74827110770102,137.70140225537222,147.9481747109184,147.0905781604727,160.44993501064843,158.26707536630747,135.59911633093114,169.81745919602665
51,180.92287219720785,137.79594509087624,148.83047333946908,147.9402982300424,162.04616631175847,159.45172192254398,135.54057942895938,171.89945344619247
52,184.0974732867147,137.8905528374676,149.71277196801975,148.79492700420528,163.6104729868463,160.5785504984212,135.48321326502705,173.915636300938
53,187.27207437622152,137.98522553971281,150.59507059657042,149.6544928398069,165.1434935284324,161.64995045011136,135.42699442437336,175.867085352826
54,190.44667546572836,138.0799632422091,151.4773692251211,150.51902425750603,166.64585365918677,162.6682601166268,135.37189996053274,177.75495079805697
55,193.6212765552352,138.1747659895842,152.35966785367177,151.388549942721,168.11816658732604,163.635761955845,135.31790738596897,179.58044549242024
